CVEGEO,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,SEMANA 5,SEMANA 6,SEMANA 7,SEMANA 8,SEMANA 9,SEMANA 10,SEMANA 11,SEMANA 12,SEMANA 13,SEMANA 14,SEMANA 15,SEMANA 16,SEMANA 17,SEMANA 18,SEMANA 19,SEMANA 20
01001,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
01002,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4
01003,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
01004,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
01005,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4
01006,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4
01007,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
01008,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
01009,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4
01010,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4
01011,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4
02001,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4
02002,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4
02003,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4
02004,NA,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4
02005,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4
02006,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4
03001,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4
03002,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4
03003,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4
03008,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
03009,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
04001,1,1,1,1,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4
04002,1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
04003,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4
04004,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4
04005,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
04006,1,1,1,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
04007,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4
04008,1,1,1,1,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4
04009,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4
04010,1,1,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
04011,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4
05001,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05002,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05003,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4
05004,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,4,4,4,4,4
05005,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4
05006,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4
05007,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05008,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4
05009,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05010,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4
05011,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4
05012,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4
05013,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4
05014,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05015,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4
05016,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4
05017,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05018,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4
05019,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4
05020,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4
05021,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4
05022,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4
05023,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4
05024,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4
05025,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4
05026,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05027,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4
05028,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4
05029,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4
05030,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4
05031,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4
05032,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4
05033,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4
05034,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05035,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05036,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05037,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4
05038,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4
06001,1,1,1,1,1,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4
06002,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
06003,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4
06004,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
06005,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4
06006,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4
06007,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4
06008,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4
06009,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4
06010,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07001,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07002,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07003,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07004,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07005,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07006,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07007,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07008,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07009,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07010,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07011,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07012,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07013,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07014,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07015,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07016,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07017,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07018,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07019,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07020,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07021,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07022,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07023,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07024,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07025,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07026,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4
07027,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07028,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07029,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07030,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07031,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07032,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07033,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07034,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
07035,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07036,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4
07037,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07038,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07039,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07040,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07041,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07042,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07043,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07044,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07045,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07046,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07047,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07048,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07049,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
07050,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07051,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
07052,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07053,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
